Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,223502,274280,,
Africa Eastern and Southern,AFE,"Air transport, passengers carried",IS.AIR.PSGR,11257400,10802900,10302700,11082400,11775500,12153400,13178400,13456500,13234700,14038500,14963609,14546112,14462573,15802323,17562611,20661751,22039609,23295972,23988552,23800085,30374164.94,33507824.27,35838679.01,35112457.82,36350758.95,39154692,41553429,45423814.08,52613964.08,54851421.29,19253142.76
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,241400,212300,212300,197000,238400,250400,255600,89600,52700,140200,149705,,,,,,,,,,1999127,2279341.18,1737962.126,2044188,2209428,1929907,1917924,1647425,1125367,1066747.356,449041.025
Africa Western and Central,AFW,"Air transport, passengers carried",IS.AIR.PSGR,3551000,3405900,3209800,2840600,3167100,3215200,2855900,3020900,3007600,3083500,2949248,2627404,2072438,2081206,2604956,,,,,,7817344.203,9140452.129,9570161.788,8677884,8030237.17,8696300,8129874,8837017,12337766.28,11384912.64,5528130.74
Angola,AGO,"Air transport, passengers carried",IS.AIR.PSGR,451500,456000,440000,333500,519000,552500,585000,555000,552900,293800,235448,193317,189619,198253,222032,239795,262666,277361,283887,274869,1010194,987798,1132424,1321872,1409952,1244491,1482546,1375523,1516628,1436959,356695
Albania,ALB,"Air transport, passengers carried",IS.AIR.PSGR,,,,,9100,13000,29000,55400,21200,91500,136622,146273,137569,158888,179543,195702,213315,238913,243691,231263,768533,829778.9239,814339.7303,865848,151632,,26634,204090,303137,307741,124714
Andorra,AND,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Air transport, passengers carried",IS.AIR.PSGR,31484000,28835100,33877100,34017400,35968300,35918200,38024200,39692100,40403700,43269900,45723758,46769231,49871837,52465002,60950501,43608649,47875367,51722644,53542019,95372047,126796491.9,135837641.4,152014159.7,166209279.1,181627311.1,195957046,214318723,223496214.1,232670166.9,246284712.9,83932897.01
United Arab Emirates,ARE,"Air transport, passengers carried",IS.AIR.PSGR,1685900,2041800,2508800,2936300,3368700,3550500,4063500,4720400,5263700,5840300,6893085,7675845,9667005,11609840,14314326,,,,,31761631,44948143.85,50342891.8,59948766.7,68151865,75608196,84343562,91763598,95306195,95758342,93995208.09,26116897
Argentina,ARG,"Air transport, passengers carried",IS.AIR.PSGR,5369100,4545900,5251400,5104500,6260700,6641700,7913000,8599800,8446500,9191900,8915627,5808770,5662905,6036360,6795484,6938436,6611915,7036784,6147290,5694547,9025035.312,8590839.85,9375669.74,11951276.82,12121912.82,14245183,15076354,16749271,18084553,19461377,3680874
